Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team
202,Steve Carlton,6.1,1965,1988,20-43,699,1881,1719,123,346,278,49,6,13,140,2,2,41,413,0.201,0.223,0.259,0.482,33,446,33,10,94,13,0,6.1,6.1,5.8,0.4,-151,3,-8,-5,0,1/H,"CHW,CLE,MIN,PHI,SFG,STL"
203,Don Drysdale,5.8,1956,1969,19-32,547,1309,1169,96,218,156,26,7,29,113,0,2,60,370,0.186,0.228,0.295,0.523,45,345,34,5,69,6,0,5.8,5.7,5.8,0.1,-84,-4,-5,-8,0,1H,"BRO,LAD"
204,Jim Kaat,5.3,1959,1983,20-44,840,1363,1251,117,232,167,44,5,16,106,5,1,63,367,0.185,0.227,0.267,0.494,37,334,14,7,34,7,1,5.3,5,5.6,-0.4,-101,5,-1,4,0,1H/D,"CHW,MIN,NYY,PHI,STL,WSH"
205,Charles Bender,5.2,1903,1925,19-41,507,1286,1147,102,243,187,40,10,6,116,20,2,75,160,0.212,0.266,0.28,0.546,66,321,,10,42,,0,5.2,4.9,5.3,-0.2,-48,0,0,0,0,1H/38745,"BAL,CHW,PHA,PHI"
206,Ray Dandridge,5.2,1933,1944,19-30,246,1000,927,144,296,218,55,19,4,146,20,,58,,0.319,0.36,0.433,0.793,110,401,,1,14,,0,5.2,2.2,4.7,1.1,12,0,1,1,4,546,"HG,ID,ND,NE,NEG"
207,Catfish Hunter,4.6,1965,1979,19-33,304,710,658,60,149,124,16,3,6,51,2,0,8,160,0.226,0.234,0.287,0.521,52,189,10,0,39,5,0,4.6,4.5,4.8,-0.2,-35,-1,1,0,0,1H/3,"KCA,NYY,OAK"
208,Pete Hill,4.2,1920,1925,37-42,159,610,508,81,154,117,22,8,7,84,11,,84,,0.303,0.41,0.419,0.829,134,213,,8,10,,,4.2,2.2,4.1,-0.4,28,0,-1,-1,2,8973/41,"BBS,DS,MB"
209,Hilton Smith,4.1,1932,1948,25-41,244,544,517,55,154,114,28,6,6,91,3,,20,,0.298,0.324,0.41,0.734,112,212,0,0,7,0,0,4.1,3.6,4.3,-0.4,5,0,-1,-1,-2,197/3,"CAG,KCM,MRM"
210,Leon Day,4,1934,1946,17-29,209,674,619,99,194,146,34,9,5,83,7,,46,,0.313,0.361,0.422,0.783,115,261,0,0,9,0,0,4,2.8,3.8,0.2,12,0,0,0,1,1847/9,"BBS,BE,HG,NE,PS"
211,Ted Lyons,3.9,1923,1946,22-45,705,1729,1563,162,364,301,49,9,5,149,0,1,73,201,0.233,0.27,0.285,0.556,45,446,9,7,83,,0,3.9,3.6,3.9,0.1,-133,1,-1,0,0,1H/9,CHW
212,Tom Seaver,3.9,1967,1986,22-41,582,1552,1315,99,202,157,28,5,12,86,4,0,108,485,0.154,0.219,0.21,0.429,22,276,22,4,121,4,0,3.9,3.7,3.6,0.3,-135,0,-3,-3,0,1H,"BOS,CHW,CIN,NYM"
213,Whitey Ford,3.5,1950,1967,21-38,500,1208,1023,91,177,155,19,0,3,69,3,2,113,224,0.173,0.256,0.2,0.457,28,205,10,3,65,4,0,3.5,3.5,3.7,-0.3,-100,5,-3,1,0,1/H,NYY
214,Eddie Plank,3.3,1901,1917,25-41,630,1783,1607,130,331,282,39,7,3,122,13,3,71,265,0.206,0.25,0.245,0.495,48,393,,24,76,,,3.3,3.2,3.4,-0.1,-101,0,1,1,0,1/H,"PHA,SLB,SLM"
215,Robin Roberts,3.1,1948,1966,21-39,688,1784,1525,107,255,185,55,10,5,103,3,1,135,372,0.167,0.238,0.226,0.464,27,345,37,8,108,6,0,3.1,3.1,3.6,-0.4,-162,2,-1,1,0,1H,"BAL,CHC,HOU,PHI"
216,Grover Alexander,3.1,1911,1930,24-43,703,1982,1810,154,378,294,60,13,11,163,3,6,77,276,0.209,0.242,0.275,0.517,43,497,,2,88,,0,3.1,3.1,3.3,-0.2,-144,0,1,1,0,1/H7,"CHC,PHI,STL"
217,Hal Newhouser,2.7,1939,1955,18-34,492,1160,999,70,201,175,22,2,2,81,3,3,89,150,0.201,0.267,0.233,0.5,36,233,24,0,72,0,0,2.7,2.7,2.7,0,-90,-1,-1,-2,0,1/H,"CLE,DET"
218,John Smoltz,2.6,1988,2009,21-42,709,1167,948,77,151,118,26,2,5,61,3,2,79,365,0.159,0.226,0.207,0.433,16,196,15,3,136,1,0,2.6,2.5,2.6,0,-127,0,-2,-2,0,1H,"ATL,BOS,STL"
219,Louis Santop,2.5,1923,1926,34-37,115,378,350,52,111,83,16,5,7,65,9,0,24,1,0.317,0.363,0.451,0.814,126,158,,1,3,,,2.5,1.2,2.5,0.2,12,0,0,0,-1,2,HIL
220,Dizzy Dean,2.3,1930,1947,20-37,325,766,717,76,161,126,23,4,8,76,5,3,9,104,0.225,0.235,0.301,0.536,43,216,12,1,39,,0,2.3,2.3,2.3,0,-59,0,0,0,0,1/H,"CHC,SLB,STL"
221,Old Hoss Radbourn,2.2,1880,1891,25-36,653,2654,2487,308,585,501,64,11,9,259,26,,158,244,0.235,0.283,0.281,0.564,73,698,,9,,,,2.2,0.6,3.6,-1.5,-75,0,-3,-3,-6,1O6/345,"BOS,BSN,BUF,CIN,PRO"
222,José Méndez,2.2,1920,1926,35-41,233,755,620,86,144,105,31,5,3,62,33,,85,,0.232,0.33,0.313,0.642,81,194,,5,45,,,2.2,0.2,2.1,0.5,-15,0,1,1,1,16549/837,KCM
223,Ed Walsh,2.1,1904,1917,23-36,459,1173,1085,92,210,159,38,10,3,68,14,1,46,282,0.194,0.231,0.255,0.486,51,277,,7,30,,,2.1,2,2.1,-0.1,-66,0,1,1,0,1H/798,"BSN,CHW"
224,Fergie Jenkins,2,1965,1983,22-40,413,1010,896,54,148,102,27,6,13,85,0,1,41,326,0.165,0.2,0.252,0.452,23,226,9,0,66,7,0,2,2,1.8,0.3,-94,3,-4,-2,0,1/H,"BOS,CHC,PHI,TEX"
225,Greg Maddux,1.8,1986,2008,20-42,737,1812,1591,103,272,230,35,2,5,84,11,3,34,419,0.171,0.191,0.205,0.395,5,326,15,5,180,2,0,1.8,1.7,1.8,0.1,-227,7,-5,1,0,1H,"ATL,CHC,LAD,SDP"
226,Bill Foster,1.4,1923,1937,19-33,264,623,577,68,126,105,11,6,4,49,1,,35,,0.218,0.263,0.279,0.542,47,161,,0,11,,0,1.4,1.2,1.3,-0.1,-45,0,0,0,0,Jan-87,"BBB,CAG,MRS,PC"
227,Mordecai Brown,1.1,1903,1916,26-39,493,1244,1143,93,235,202,20,11,2,73,8,0,44,199,0.206,0.236,0.248,0.483,43,283,,1,49,,,1.1,1.1,1.2,0.1,-81,0,1,1,0,1H/789,"BTT,CHC,CHI,CIN,SLM,STL"
228,Juan Marichal,1,1960,1975,22-37,464,1343,1221,73,202,167,29,2,4,75,2,5,38,269,0.165,0.191,0.202,0.393,11,247,20,2,71,7,0,1,1,0.8,0.3,-141,1,-3,-3,0,1/H,"BOS,LAD,SFG"
229,Jim Palmer,0.9,1965,1984,19-38,222,537,489,52,85,72,9,1,3,41,1,0,16,207,0.174,0.2,0.215,0.414,18,105,1,0,31,1,0,0.9,0.9,1.1,-0.2,-49,2,-2,0,0,1H/D,BAL
230,Herb Pennock,0.8,1912,1934,18-40,620,1427,1214,108,232,191,33,4,4,103,1,0,94,178,0.191,0.253,0.235,0.488,31,285,,7,111,,0,0.8,0.8,0.8,0,-128,-1,2,1,0,1/H,"BOS,NYY,PHA"
231,Rollie Fingers,0.6,1968,1985,21-38,497,201,180,10,31,26,3,0,2,9,0,0,3,45,0.172,0.186,0.222,0.408,17,40,2,0,18,0,0,0.6,0.6,0.6,-0.1,-17,1,-2,-1,0,1/H,"MIL,OAK,SDP"
232,Amos Rusie,0.6,1889,1901,18-30,487,1765,1730,209,429,350,42,29,8,176,25,,27,186,0.248,0.262,0.32,0.582,62,553,,6,2,,,0.6,0.3,1,-0.4,-110,0,-2,-2,0,1O/3,"CIN,IND,NYG"
233,CC Sabathia,0.5,2001,2019,20-38,48,127,121,7,25,19,3,0,3,15,0,0,2,36,0.207,0.22,0.306,0.525,38,37,7,0,4,0,0,0.5,0.5,0.5,0,-11,-1,0,-1,0,1/H,"CLE,MIL,NYY"
234,Jack Chesbro,0.2,1899,1909,25-35,393,1155,1103,85,217,162,37,13,5,82,5,,25,269,0.197,0.216,0.267,0.483,44,295,,2,21,,,0.2,0.2,0.3,-0.1,-80,0,1,1,0,1/3HO,"BOS,NYY,PIT"
235,Satchel Paige,0,1927,1965,20-58,422,708,672,51,137,122,6,8,1,49,7,0,14,32,0.204,0.221,0.241,0.462,28,162,5,1,21,0,0,0,-0.1,-0.1,0,-69,0,0,0,0,1/397,"BBB,CCU,CLE,KCA,KCM,MRS,NBY,PC,SLB"
236,Jack Morris,-0.1,1977,1994,22-39,23,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,1H/D,"CLE,DET,MIN,TOR"
237,Dennis Eckersley,-0.2,1975,1998,20-43,218,196,181,9,24,18,3,0,3,12,0,0,9,84,0.133,0.173,0.199,0.372,0,36,1,0,5,1,0,-0.2,-0.2,-0.2,-0.1,-24,0,-1,-1,0,1/HD,"BOS,CHC,CLE,OAK,STL"
238,Kid Nichols,-0.4,1890,1906,20-36,650,2264,2090,273,472,374,58,24,16,278,19,,137,343,0.226,0.277,0.3,0.577,55,626,,12,25,,,-0.4,-0.7,0.1,-0.4,-159,0,0,0,-1,1O/3H789,"BSN,PHI,STL"
239,Rich Gossage,-0.5,1972,1994,20-42,388,93,85,1,9,8,1,0,0,2,0,0,4,37,0.106,0.146,0.118,0.264,-25,10,2,0,4,0,0,-0.5,-0.5,-0.5,-0.1,-14,0,0,0,0,1/DH,"CHC,CHW,NYY,OAK,PIT,SDP,SEA,SFG,TEX"
240,Andy Cooper,-0.7,1920,1939,23-42,298,622,580,46,105,84,10,8,3,35,0,,26,,0.181,0.217,0.241,0.459,24,140,,1,15,,0,-0.7,-0.8,-0.7,-0.1,-67,0,0,0,-1,Jan-94,"CAG,DS,KCM"
241,Mickey Welch,-0.8,1880,1892,20-32,607,2286,2201,268,492,371,93,16,12,202,10,,82,329,0.224,0.252,0.297,0.549,68,653,,3,,,,-0.8,-1.3,0.7,-1.5,-96,0,-2,-2,-8,1O,"NYG,TRO"
242,Jim Bunning,-0.9,1955,1971,23-39,601,1401,1275,82,213,181,21,4,7,75,0,2,34,362,0.167,0.188,0.206,0.395,9,263,36,1,85,6,0,-0.9,-0.9,-0.8,0,-158,-1,-5,-6,0,1H,"DET,LAD,PHI,PIT"
243,Phil Niekro,-1.1,1964,1987,25-48,742,1707,1537,80,260,210,42,1,7,109,0,1,17,314,0.169,0.183,0.211,0.395,8,325,35,12,129,12,0,-1.1,-1.1,-1.3,0.4,-196,0,-5,-5,0,1/H,"ATL,CLE,MLN,NYY,TOR"
244,Eppa Rixey,-1.4,1912,1933,21-42,694,1667,1522,95,291,251,33,4,3,111,2,2,49,220,0.191,0.221,0.224,0.445,22,341,2,9,87,,0,-1.4,-1.4,-1.3,-0.1,-167,-1,3,2,0,1/H,"CIN,PHI"
245,Don Sutton,-1.6,1966,1988,21-43,611,1559,1354,64,195,179,15,1,0,64,1,0,60,365,0.144,0.183,0.157,0.34,-2,212,29,6,136,3,0,-1.6,-1.6,-1.8,0.4,-186,1,-3,-2,0,1H,"CAL,HOU,LAD,MIL,OAK"
246,Bert Blyleven,-1.6,1970,1992,19-41,218,514,451,19,59,52,7,0,0,25,0,0,5,193,0.131,0.144,0.146,0.29,-19,66,4,2,56,0,0,-1.6,-1.7,-1.6,0,-71,1,0,1,0,1/H,"CAL,CLE,MIN,PIT,TEX"
247,John Clarkson,-1.8,1882,1894,20-32,546,2060,1974,254,432,309,73,26,24,232,31,,81,382,0.219,0.25,0.319,0.569,61,629,,1,4,,,-1.8,-2,-0.9,-0.7,-136,0,-4,-4,-2,1O/53,"BSN,CHC,CLV,WOR"
248,Cy Young,-2,1890,1911,23-44,918,3104,2960,325,623,483,87,35,18,290,29,,81,381,0.21,0.234,0.282,0.516,45,834,,10,50,,,-2,-2.1,-1.5,-0.3,-245,0,0,0,-1,1/3H,"BOS,BSN,CLE,CLV,STL"
249,Tim Keefe,-2.3,1880,1893,23-36,618,2262,2083,248,390,280,60,38,12,134,13,,175,411,0.187,0.252,0.27,0.521,58,562,,4,,,,-2.3,-2.5,-1.8,-0.3,-134,0,-2,-2,2,1O/54,"NYG,NYI,NYP,PHI,TRO"
250,Addie Joss,-2.3,1902,1910,22-30,296,919,817,46,118,90,21,6,1,51,10,,54,297,0.144,0.198,0.188,0.387,20,154,,1,39,,,-2.3,-2.5,-2.3,-0.1,-84,0,1,1,0,1/385H,CLE
251,Randy Johnson,-2.5,1988,2009,24-45,273,691,625,20,78,63,14,0,1,40,0,0,19,296,0.125,0.153,0.152,0.305,-22,95,10,2,44,1,0,-2.5,-2.5,-2.4,0,-118,-1,-3,-4,0,7-Jan,"ARI,HOU,MON,NYY,SEA,SFG"
252,Rube Waddell,-2.5,1897,1910,20-33,410,1139,1066,61,172,129,29,10,4,83,6,,42,300,0.161,0.197,0.219,0.416,25,233,,6,23,,,-2.5,-2.5,-2.4,-0.1,-100,0,1,1,0,1/3H,"CHC,LOU,PHA,PIT,SLB"
253,Dazzy Vance,-2.6,1915,1935,24-44,442,1114,971,68,146,115,23,1,7,75,1,0,79,287,0.15,0.219,0.198,0.417,10,192,4,7,55,,0,-2.6,-2.6,-2.5,-0.1,-139,-2,2,0,0,1/H,"BRO,CIN,NYY,PIT,STL"
254,Joe McGinnity,-2.9,1899,1908,28-37,477,1424,1297,109,251,220,21,10,0,90,26,,34,158,0.194,0.221,0.225,0.446,28,292,,11,81,,,-2.9,-3,-2.8,-0.1,-126,0,0,0,0,1/9HO845,"BLA,BLN,BRO,NYG"
255,Jesse Haines,-3,1918,1937,24-43,560,1215,1124,76,209,181,23,2,3,79,2,1,30,246,0.186,0.208,0.218,0.426,12,245,1,1,59,,0,-3,-3,-2.9,-0.1,-150,0,2,2,0,1/H3,"CIN,STL"
256,Gaylord Perry,-3,1962,1983,23-44,512,1220,1076,48,141,118,17,0,6,47,0,0,22,369,0.131,0.153,0.164,0.316,-10,176,20,6,113,3,0,-3,-3,-3.2,0.3,-161,0,-3,-3,0,1H,"ATL,CLE,KCR,NYY,SDP,SEA,SFG,TEX"
257,Red Faber,-3.6,1914,1933,25-44,670,1559,1269,98,170,144,21,2,3,71,7,0,169,479,0.134,0.24,0.161,0.401,10,204,,8,104,,0,-3.6,-3.6,-3.6,0,-180,0,3,3,0,1/H,CHW
258,Vic Willis,-3.9,1898,1910,22-34,531,1632,1493,107,248,224,19,4,1,84,3,,81,199,0.166,0.213,0.186,0.399,18,278,,8,41,,,-3.9,-4,-3.6,-0.2,-150,0,3,3,-1,13/H,"BSN,PIT,STL"
259,Lefty Grove,-6.5,1925,1941,25-41,619,1580,1369,119,202,155,27,5,15,121,1,1,105,593,0.148,0.209,0.207,0.417,6,284,1,2,103,,0,-6.5,-6.5,-6.5,0.1,-232,1,-2,-1,0,1/H,"BOS,PHA"
260,Pud Galvin,-9.8,1875,1892,18-35,731,2788,2748,278,552,429,87,31,5,220,23,0,38,631,0.201,0.212,0.261,0.473,47,716,1,2,,,,-9.8,-10.1,-8.5,-1.3,-216,0,-1,-1,-6,1O/6,"BUF,PBB,PIT,STL"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
