Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Craig Biggio,22,40,629,19,2709,10359,1776,2930,1960,637,52,281,1125.0,970,410.0,121.0,1137,1641.0,4514,145.0,282.0,94.0,76.0,68.0,67.6,3.6,3.7,0.283,0.406,0.436,0.842,7,4,5,0,0,0,4,11,5,3,0,hof
Curt Flood,23,33,582,10,1369,5327,738,1603,1279,227,38,59,530.0,324,84.0,57.0,362,463.0,2083,82.0,44.0,64.0,27.0,14.0,38.8,3.9,7.5,0.301,0.372,0.391,0.763,3,7,0,0,0,0,8,3,0,7,0,retired
Curtis Granderson,23,38,519,16,2057,7236,1217,1800,1015,346,95,344,937.0,785,153.0,50.0,924,1916.0,3368,64.0,67.0,30.0,49.0,31.0,47.5,3.0,2.0,0.249,0.38,0.465,0.845,3,0,1,0,0,0,8,13,1,2,0,retired
César Cedeño,19,35,478,17,2006,7310,1084,2087,1392,436,60,199,976.0,695,550.0,179.0,664,938.0,3240,167.0,56.0,32.0,71.0,83.0,53.300000000000004,3.1,2.0,0.285,0.377,0.443,0.82,4,5,0,0,0,0,8,12,0,5,0,retired
Dale Murphy,20,37,502,18,2180,7960,1197,2111,1324,350,39,398,1266.0,787,161.0,68.0,986,1748.0,3733,209.0,28.0,6.0,60.0,159.0,46.39999999999999,2.6,-0.8,0.265,0.388,0.469,0.857,7,5,4,0,2,0,8,11,2,3,2,retired
Darin Erstad,22,35,473,14,1654,6024,913,1697,1224,316,33,124,699.0,473,179.0,58.0,475,939.0,2451,87.0,37.0,36.0,43.0,46.0,32.2,2.3,-0.3,0.282,0.362,0.407,0.769,2,3,1,0,0,0,8,10,1,3,0,retired
Darrell Evans,22,41,521,20,2580,8697,1313,2166,1405,323,35,403,1315.0,761,98.0,67.0,1564,1364.0,3768,132.0,35.0,34.0,84.0,135.0,60.4,3.0,9.1,0.249,0.427,0.433,0.86,2,0,0,0,0,0,5,18,0,2,0,retired
Darrell Porter,19,35,386,17,1782,5539,765,1369,896,237,48,188,826.0,473,39.0,37.0,905,1025.0,2266,102.0,45.0,18.0,63.0,106.0,40.9,2.4,3.4,0.247,0.411,0.409,0.82,3,0,0,0,0,1,2,13,1,3,0,retired
Darryl Strawberry,21,37,372,17,1583,5418,898,1401,772,256,38,335,1000.0,629,221.0,99.0,816,1352.0,2738,64.0,38.0,1.0,53.0,131.0,42.0,2.5,1.8,0.259,0.409,0.505,0.914,6,0,2,0,0,0,9,11,2,4,0,retired
Dave Concepción,22,40,502,18,2334,8192,947,2196,1689,363,47,97,892.0,507,299.0,103.0,684,1114.0,2944,257.0,21.0,66.0,77.0,88.0,41.4,2.3,1.3,0.268,0.35,0.359,0.709,0,5,2,0,0,0,6,11,2,5,0,retired
